neg_score,neut_score,pos_score,comp_score,length,similarity,count_hedgewords,author_flair,author_score,delta
9.3,77.5,13.2,72.39,,,,1,5,1
6.2,85.2,8.7,30.8,453,100,120,1,2,1
10.8,83.2,6,-55.99,607,100,180,7,10,1
14,83.8,2.3,-95.2,979,95.06758297,240,6,8,1
11,82.1,6.9,-96.52,2764,100,1020,7,8,1
9.8,83.5,6.6,-94.55,4648,99.2169031,1020,6,5,1
0,85.1,14.9,75.79,279,100,120,7,5,1
13.5,75.4,11.1,-92.5,2585,100,720,1,7,1
7.6,83.4,9,75.94,2431,100,660,1,2,1
11.6,82.1,6.3,-94.76,2187,94.46249909,420,1,26,1
0,87.2,12.8,90.01,497,97.55996043,180,2,2,1
4.8,93.2,2,-40.19,333,100,120,6,3,1
0,90.4,9.6,49.39,174,96.88752886,0,1,3,1
0,86.1,13.9,54.99,121,95.42062412,0,1,2,1
5.7,79,15.3,45.88,282,100,60,1,2,1
5.1,76.6,18.3,97.45,962,100,420,1,12,1
4.9,68.8,26.2,99.77,1667,98.81278415,420,1,2,1
8.8,83.9,7.4,-47.71,1117,100,470,3,13,1
11.2,75,13.8,75.04,2348,100,300,1,67,1
16.9,77,6.1,-96.7,1110,100,420,14,9,1
5,85,10,58.6,756,100,60,1,5,1
7.3,79.4,13.3,97.41,1601,98.44984837,420,6,3,1
16.1,72.7,11.2,-90.03,1007,100,180,1,5,1
24.7,69.3,6,-98.87,969,100,480,1,21,1
6,75.2,18.8,99.15,2305,100,1080,1,17,1
0,100,0,0,221,100,0,19,2,1
13.7,67.4,19,62.17,350,100,60,3,59,1
10.1,76.9,12.9,96.14,2845,100,1020,2,30,1
9.4,81.4,9.2,-61.34,1846,100,420,47,17,1
1.8,93.2,5,73.62,1145,100,420,1,96,1
1.1,84,14.9,97.43,1188,96.33798496,480,2,2,1
12,67.6,20.4,97.62,1710,100,360,8,263,1
25.7,62.7,11.6,-98.24,1075,100,300,1,13,1
1.1,93.9,5,89.89,1841,100,240,1,55,1
10.3,77,12.7,92.03,2981,100,720,1,1,1
11.8,69,19.2,96.74,1182,100,240,47,22,1
9.7,67.3,23,96.76,721,99.33373137,180,47,12,1
11,76,13,81.88,4369,100,1320,2,8,1
8.2,72.4,19.4,99.75,3254,100,660,6,2,1
6.6,81.4,12,97.3,1685,99.14121071,180,2,1,1
21.4,64.6,14,-86.32,572,100,0,19,14,1
6.4,82.8,10.8,93.18,2052,100,420,2,12,1
0,100,0,0,150,90.11979132,60,1,13,1
4.6,79.1,16.3,94.86,988,98.99939414,180,17,12,1
4.4,90.5,5.1,54.98,2210,99.02744984,720,1,11,1
10.9,67,22.1,98.3,1183,100,180,1,2,1
15,70,15,-62.49,980,100,300,3,56,1
3.4,73.5,23.2,88.18,255,94.69516113,60,3,13,1
6.8,67.6,25.7,99.95,4024,100,1080,2,17,1
4.8,66.2,29,99.43,945,100,360,1,5,1
4.4,83,12.6,93.14,1136,100,300,47,59,1
10.8,78.1,11,34.86,5523,100,1080,1,2,1
5.2,82.7,12.1,96,1463,97.81505934,645,3,3,1
26.1,66.8,7.1,-99.79,1717,100,360,6,25,1
10.3,71.9,17.7,99.24,1982,100,180,14,14,1
5.6,83.9,10.5,87.44,1371,100,840,47,65,1
9.8,79.4,10.8,-40.37,1136,100,180,7,5,1
6,75.4,18.6,95.13,619,100,120,1,14,1
9,79.7,11.3,36.46,1914,95.0051627,780,14,1,1
3.9,90.7,5.5,56.47,879,100,60,1,22,1
12.8,66.5,20.7,97.67,1099,100,355,1,7,1
10.5,75.4,14.2,35.7,642,97.9729238,180,1,3,1
5.8,88.5,5.6,-36.12,1608,100,360,1,36,1
0,93.3,6.7,38.18,344,96.38761232,120,19,10,1
2.4,78.6,19.1,86.77,293,100,60,1,14,1
13.2,78.2,8.6,-79.63,701,100,240,8,3,1
4.5,85.8,9.7,77.53,551,100,60,1,14,1
14.2,79.9,5.9,-98.88,2465,100,480,3,4,1
10.1,81.3,8.6,-59.63,3055,100,900,14,3,1
2.1,81.2,16.7,98.5,1352,100,120,13,125,1
8.3,81.3,10.4,55.83,1764,100,240,4,1,1
11.5,80.4,8.1,-91.25,1582,100,420,4,2,1
5.7,79.1,15.2,88.07,608,100,120,1,15,1
1.9,83.5,14.6,98.58,1827,98.00640858,360,17,3,1
15.5,66.3,18.2,85.67,1966,100,540,1,3,1
2.6,89.6,7.8,77.62,884,98.42241625,240,27,2,1
7.6,83.3,9.2,53.19,1424,100,240,27,7,1
7.9,80.2,11.9,96.44,2860,100,780,2,16,1
2.5,92.5,5,65.2,769,100,180,7,18,1
4.6,84.4,10.9,94.62,1396,98.07025143,660,1,1,1
15.1,83,1.9,-96.9,875,100,180,1,84,1
17.4,71.9,10.7,-99.83,4937,97.18216152,1560,13,4,1
9.6,78.6,11.7,65.29,927,100,300,14,6,1
15.5,80.5,4,-95.98,1296,100,120,4,2,1
11.2,69.1,19.7,99.94,8276,99.23073783,1740,3,2,1
4.3,80.6,15.1,93.19,604,100,120,19,5,1
6.5,78.9,14.6,95.67,1060,98.15245402,480,2,3,1
0,100,0,0,144,100,0,4,5,1
15,77.3,7.8,-95.22,1036,100,360,8,2,1
0,89.4,10.6,82.71,448,100,0,2,15,1
10.2,83.8,5.9,-85.72,1020,97.28759591,420,1,3,1
3.4,83.9,12.7,89.8,1792,100,302,2,16,1
5.3,88.3,6.4,59.29,945,100,120,1,5,1
2.4,83.8,13.8,97.55,1388,100,60,27,2,1
0,80.1,19.9,98.5,890,100,360,1,4,1
6.5,81,12.5,93.18,1256,100,540,1,1,1
2.7,71.7,25.6,95.9,522,96.73520002,60,4,3,1
13.4,79.6,7,-98.94,3290,100,420,1,9,1
10.3,84.5,5.2,-96.33,2143,100,300,19,9,1
9.5,75.9,14.6,95.6,1841,97.80963287,300,2,2,1
13.4,81.6,5,-93.18,788,100,300,3,1,1
7.5,79.3,13.2,98.07,2853,100,1140,1,9,1
5.2,78.7,16,96.74,1049,100,480,14,62,1
1,73.3,25.7,99.73,1485,100,120,47,7,1
0,84.9,15.1,93.8,647,98.27215003,420,47,4,1
0,71.9,28.1,99.3,709,98.1052215,60,2,1,1
12,72.6,15.4,85.39,1319,98.59165662,120,4,0,1
18.3,68.3,13.4,-26.86,272,100,0,3,37,1
13.2,71.2,15.6,51.87,1126,100,300,5,59,1
8.2,79.5,12.3,99.43,6010,98.26450322,1440,5,3,1
7.4,84.7,7.9,56.99,763,100,480,1,8,1
18.3,73.5,8.2,-91.38,521,100,120,2,10,1
10.1,84.9,5.1,-88.49,1416,97.17685498,300,66,2,1
13.9,74,12.2,-89.95,2384,100,600,1,1,1
15.9,70.8,13.4,-87.7,2047,100,240,8,57,1
7,76.4,16.5,94.64,781,100,180,1,3,1
9.2,83.6,7.2,-69.58,2239,97.88129156,240,4,2,1
4.7,80.2,15.1,98.14,1920,100,300,8,12,1
17.2,74.4,8.4,-99.13,1944,98.78877287,600,14,6,1
16.9,78.4,4.7,-99.34,1977,100,420,19,17,1
10.7,79.2,10.1,-73.23,4414,100,1260,2,57,1
12,76.8,11.2,-49.64,2121,100,660,66,1,1
2.7,87.6,9.7,97.1,2081,100,360,1,6,1
12.6,78,9.5,-59.17,747,97.15315961,120,1,5,1
1.5,96,2.5,75.79,2836,100,660,2,18,1
10,83,7,-86.94,1685,97.21259205,240,17,2,1
8.2,82,9.8,69.15,1436,100,595,17,2,1
9.9,70.2,19.9,98.44,1487,98.73028034,540,1,2,1
14.3,72.5,13.1,34.6,565,100,60,2,6,1
14.8,73.1,12.2,-85.95,883,100,120,1,3,1
20.1,69.9,10.1,-89.02,509,100,240,1,4,1
15.4,66.5,18.2,95.7,3200,100,1300,2,23,1
17.2,68.7,14.1,-95.54,2743,100,900,14,18,1
8.1,80.4,11.5,93.52,2399,97.78767607,660,2,2,1
3.9,87.8,8.2,99.26,7111,100,842,1,22,1
2.1,78.4,19.5,86.23,409,100,60,1,1,1
8.6,89.7,1.7,-58.26,516,97.49830686,300,19,2,1
19.5,75.5,4.9,-97.92,830,100,360,1,5,1
15.5,70.9,13.6,-89.7,1790,97.46644162,300,1,9,1
7.4,89,3.6,-85,1212,100,360,2,12,1
4.8,82.5,12.7,98.24,2366,100,1080,66,6,1
6.3,76.9,16.8,97.64,1234,100,120,1,30,1
0,94.2,5.8,20.23,179,100,0,1,13,1
10.1,65.7,24.2,98.22,851,96.92827629,300,1,23,1
6.2,83.2,10.6,87.79,1187,100,350,1,3,1
6.6,61.8,31.6,98.1,504,100,240,7,7,1
2.3,91.6,6.1,85.23,1361,96.97506911,240,2,4,1
9.3,77.7,13,99.35,6143,98.50053651,1860,5,2,1
6.2,88.1,5.7,-13.66,2630,100,840,14,15,1
5.8,84.2,10,99.42,4591,100,780,5,62,1
6.5,68.5,25,99.85,2529,98.63622984,900,2,10,1
14.7,78.5,6.8,-77.35,723,100,360,8,21,1
4.8,82.6,12.6,95.85,1416,100,420,3,4,1
6.7,82.7,10.6,89.19,1896,96.57345138,480,8,2,1
3.9,87.8,8.3,80.67,1360,100,180,5,8,1
13.8,81.3,4.9,-98.34,1775,100,420,2,8,1
7.4,89.2,3.4,-66.55,685,98.26006207,295,6,2,1
8.6,76.7,14.7,67.98,693,98.24153444,60,27,1,1
5.2,82.6,12.2,99.69,5750,100,1740,13,32,1
6.1,86.2,7.7,88.87,4055,97.81432603,660,2,15,1
8.9,85,6.1,-17.88,994,98.36234745,300,19,13,1
9.3,74.5,16.2,99.51,4051,100,900,2,19,1
6.7,74.7,18.6,98.65,1871,99.23318214,720,13,2,1
6.4,77.8,15.8,91.95,1006,99.06830899,300,13,1,1
18,69.2,12.8,-82.71,672,100,180,4,15,1
18.7,78.8,2.5,-91.88,494,100,180,5,49,1
36,50.8,13.2,-97.55,433,100,0,7,13,1
9,81.5,9.5,-82.08,2836,100,780,66,3,1
23.1,69.3,7.6,-96.56,492,100,300,1,34,1
20.8,69.6,9.6,-99.9,4620,100,900,1,212,1
28.7,59.7,11.6,-71.84,216,88.4914258,180,1,9,1
15,85,0,-64.86,177,95.71043429,0,2,40,1
3.6,80.3,16,98.61,1626,100,600,20,4,1
13.6,72.5,13.9,-83.54,2954,100,600,1,10,1
0,84.9,15.1,43.1,106,100,0,1,57,1
18.2,70.8,11,-89.04,1005,100,480,31,48,1
13.9,74.8,11.3,-77.14,735,100,360,1,5,1
13.9,74.8,11.3,-85.17,880,100,180,3,2,1
14,77.8,8.2,-97.05,1629,100,300,6,19,1
8.1,79.9,12,72.9,854,100,240,1,3,1
11.8,61.9,26.3,74.3,183,100,0,7,1,1
11.8,77.2,11,-66.3,2704,100,900,8,19,1
3.5,90,6.5,93.29,3186,100,900,3,4,1
10.6,87.6,1.7,-57.09,373,100,60,3,324,1
10.7,76.9,12.5,20.6,2692,100,480,1,39,1
8.1,84.1,7.9,-10.53,934,100,420,8,50,1
8.6,78.5,12.9,97.45,2797,100,1020,2,8,1
5.3,89.9,4.9,-57.25,2322,98.85081063,960,2,3,1
11.4,77.4,11.1,-40.31,1413,100,420,2,6,1
