,predicted_delta
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,0
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,0
47,0
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,0
133,0
134,1
135,1
136,1
137,1
138,0
139,1
140,1
141,0
142,1
143,1
144,0
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,0
195,1
196,0
197,1
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,0
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,0
260,0
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,1
307,0
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,1
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,1
409,1
410,0
411,0
412,0
413,1
414,0
415,1
416,0
417,0
418,0
419,1
420,0
421,0
422,1
423,0
424,1
425,1
426,1
427,0
428,0
429,0
430,1
431,1
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,1
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,0
449,0
450,1
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,1
466,0
467,1
468,0
469,1
470,0
471,0
472,1
473,0
474,0
475,0
476,0
477,1
478,1
479,0
480,0
481,0
482,1
483,0
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,1
492,0
493,1
494,0
495,0
496,1
497,0
498,0
499,1
500,0
501,0
502,0
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,1
515,0
516,1
517,0
518,1
519,0
520,1
521,1
522,0
523,0
524,0
525,0
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,1
537,0
538,0
539,1
540,0
541,0
542,0
543,0
544,1
545,1
546,1
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,1
555,0
556,0
557,1
558,1
559,0
560,0
561,0
562,0
563,0
564,1
565,0
566,1
567,0
568,0
569,0
570,0
571,1
572,0
573,1
574,0
575,1
576,0
577,0
578,1
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,1
593,0
594,1
595,0
596,0
597,0
