comp_score,length,similarity,count_hedgewords,author_flair,author_score,delta
72.39,,,,1,5,1
30.8,453,100,120,1,2,1
-55.99,607,100,180,7,10,1
-95.2,979,95.06758297,240,6,8,1
-96.52,2764,100,1020,7,8,1
-94.55,4648,99.2169031,1020,6,5,1
75.79,279,100,120,7,5,1
-92.5,2585,100,720,1,7,1
75.94,2431,100,660,1,2,1
-94.76,2187,94.46249909,420,1,26,1
90.01,497,97.55996043,180,2,2,1
-40.19,333,100,120,6,3,1
49.39,174,96.88752886,0,1,3,1
54.99,121,95.42062412,0,1,2,1
45.88,282,100,60,1,2,1
97.45,962,100,420,1,12,1
99.77,1667,98.81278415,420,1,2,1
-47.71,1117,100,470,3,13,1
75.04,2348,100,300,1,67,1
-96.7,1110,100,420,14,9,1
58.6,756,100,60,1,5,1
97.41,1601,98.44984837,420,6,3,1
-90.03,1007,100,180,1,5,1
-98.87,969,100,480,1,21,1
99.15,2305,100,1080,1,17,1
0,221,100,0,19,2,1
62.17,350,100,60,3,59,1
96.14,2845,100,1020,2,30,1
-61.34,1846,100,420,47,17,1
73.62,1145,100,420,1,96,1
97.43,1188,96.33798496,480,2,2,1
97.62,1710,100,360,8,263,1
-98.24,1075,100,300,1,13,1
89.89,1841,100,240,1,55,1
92.03,2981,100,720,1,1,1
96.74,1182,100,240,47,22,1
96.76,721,99.33373137,180,47,12,1
81.88,4369,100,1320,2,8,1
99.75,3254,100,660,6,2,1
97.3,1685,99.14121071,180,2,1,1
-86.32,572,100,0,19,14,1
93.18,2052,100,420,2,12,1
0,150,90.11979132,60,1,13,1
94.86,988,98.99939414,180,17,12,1
54.98,2210,99.02744984,720,1,11,1
98.3,1183,100,180,1,2,1
-62.49,980,100,300,3,56,1
88.18,255,94.69516113,60,3,13,1
99.95,4024,100,1080,2,17,1
99.43,945,100,360,1,5,1
93.14,1136,100,300,47,59,1
34.86,5523,100,1080,1,2,1
96,1463,97.81505934,645,3,3,1
-99.79,1717,100,360,6,25,1
99.24,1982,100,180,14,14,1
